Word,Plural
humanidad,humanidades
humano,humanos
humana,humanas
persona,personas
gente,gentes
hombre,hombres
mujer,mujeres
bebé,bebés
niño,niños
niña,niñas
adolescente,adolescentes
adulto,adultos
adulta,adultas
anciano,ancianos
anciana,ancianas
don,dones
doña,doñas
señor,señores
señora,señoras
caballero,caballeros
dama,damas
individuo,individuos
cuerpo,cuerpos
pierna,piernas
pie,pies
talón,talones
espinilla,espinillas
rodilla,rodillas
muslo,muslos
cabeza,cabezas
cara,caras
boca,bocas
labio,labios
diente,dientes
ojo,ojos
nariz,narices
barba,barbas
bigote,bigotes
cabello,cabellos
oreja,orejas
cerebro,cerebros
estómago,estómagos
brazo,brazos
codo,codos
hombro,hombros
uña,uñas
mano,manos
muñeca,muñecas
palma,palmas
dedo,dedos
trasero,traseros
culo,culos
cola,colas
glúteo,glúteos
abdomen,abdómenes
hígado,hígados
músculo,músculos
cuello,cuellos
corazón,corazones
mente,mentes
alma,almas
espíritu,espíritus
pecho,pechos
cintura,cinturas
cadera,caderas
espalda,espaldas
sangre,sangres
carne,carnes
piel,pieles
hueso,huesos
resfriado,resfriados
gripe,gripes
diarrea,diarreas
salud,saludes
enfermedad,enfermedades
columna vertebral,columnas vertebrales
familia,familias
amigo,amigos
amiga,amigas
conocido,conocidos
conocida,conocidas
colega,colegas
pareja,parejas
esposo,esposos
esposa,esposas
matrimonio,matrimonios
amor,amores
padre,padres
madre,madres
hermano,hermanos
hermana,hermanas
hijo,hijos
hija,hijas
abuelo,abuelos
abuela,abuelas
bisabuelo,bisabuelos
bisabuela,bisabuelas
nieto,nietos
nieta,nietas
bisnieto,bisnietos
bisnieta,bisnietas
primo,primos
prima,primas
tío,tíos
tía,tías
sobrino,sobrinos
sobrina,sobrinas
criatura,criaturas
especie,especies
ser,seres
vida,vidas
nacimiento,nacimientos
reproducción,reproducciones
muerte,muertes
naturaleza,naturalezas
campo,campos
bosque,bosques
selva,selvas
jungla,junglas
desierto,desiertos
costa,costas
playa,playas
río,ríos
laguna,lagunas
lago,lagos
mar,mares
océano,océanos
cerro,cerros
monte,montes
montaña,montañas
luz,luces
energía,energías
animal,animales
perro,perros
gato,gatos
vaca,vacas
cerdo,cerdos
caballo,caballos
yegua,yeguas
oveja,ovejas
mono,monos
ratón,ratones
rata,ratas
tigre,tigres
conejo,conejos
dragón,dragones
ciervo,ciervos
rana,ranas
león,leones
jirafa,jirafas
elefante,elefantes
pájaro,pájaros
gallina,gallinas
gorrión,gorriones
cuervo,cuervos
águila,águilas
halcón,halcones
pez,peces
camarón,camarones
langosta,langostas
sardina,sardinas
atún,atunes
calamar,calamares
pulpo,pulpos
insecto,insectos
bicho,bichos
mariposa,mariposas
polilla,polillas
saltamontes,saltamontes
araña,arañas
mosca,moscas
mosquito,mosquitos
cucaracha,cucarachas
caracol,caracoles
babosa,babosas
lombriz,lombrices
marisco,mariscos
molusco,moluscos
lagarto,lagartos
serpiente,serpientes
cocodrilo,cocodrilos
alimento,alimentos
comida,comidas
bebida,bebidas
vegetal,vegetales
planta,plantas
pasto,pastos
césped,céspedes
flor,flores
fruta,frutas
semilla,semillas
árbol,árboles
hoja,hojas
raíz,raíces
tallo,tallos
hongo,hongos
ciruela,ciruelas
pino,pinos
bambú,bambúes
nuez,nueces
almendra,almendras
castaña,castañas
arroz,arroces
avena,avenas
cebada,cebadas
trigo,trigos
verdura,verduras
patata,patatas
papa,papas
judía,judías
guisante,guisantes
poroto,porotos
rábano,rábanos
zanahoria,zanahorias
manzana,manzanas
naranja,naranjas
plátano,plátanos
pera,peras
castaño,castaños
durazno,duraznos
tomate,tomates
sandía,sandías
carne,carnes
gaseosa,gaseosas
tiempo,tiempos
calendario,calendarios
edad,edades
época,épocas
era,eras
fecha,fechas
instante,instantes
momento,momentos
segundo,segundos
minuto,minutos
hora,horas
día,días
semana,semanas
mes,meses
año,años
década,décadas
siglo,siglos
milenio,milenios
ayer,ayeres
hoy,hoys
mañana,mañanas
amanecer,amaneceres
mediodía,mediodías
tarde,tardes
anochecer,anocheceres
noche,noches
lunes,lunes
martes,martes
miércoles,miércoles
jueves,jueves
viernes,viernes
sábado,sábados
domingo,domingos
ambiente,ambientes
espacio,espacios
entorno,entornos
área,áreas
superficie,superficies
volumen,volúmenes
región,regiones
zona,zonas
lado,lados
mundo,mundos
planeta,planetas
sol,soles
luna,lunas
estrella,estrellas
galaxia,galaxias
universo,universos
clima,climas
lluvia,lluvias
nieve,nieves
viento,vientos
trueno,truenos
rayo,rayos
tormenta,tormentas
cielo,cielos
este,estes
oeste,oestes
sur,sures
norte,nortes
derecha,derechas
izquierda,izquierdas
diagonal,diagonales
exterior,exteriores
interior,interiores
calor,calores
agua,aguas
hielo,hielos
vapor,vapores
fuego,fuegos
gas,gases
aire,aires
atmósfera,atmósferas
tierra,tierras
piso,pisos
suelo,suelos
metal,metales
hierro,hierros
oro,oros
plata,platas
plomo,plomos
sal,sales
barro,barros
lodo,lodos
peso,pesos
metro,metros
milímetro,milímetros
centímetro,centímetros
kilómetro,kilómetros
litro,litros
gramo,gramos
kilo,kilos
cantidad,cantidades
total,totales
medida,medidas
sociedad,sociedades
comunidad,comunidades
reunión,reuniones
encuentro,encuentros
estructura,estructuras
administración,administraciones
organización,organizaciones
asociación,asociaciones
empresa,empresas
equipo,equipos
autoridad,autoridades
cargo,cargos
campaña,campañas
club,clubes
comisión,comisiones
congreso,congresos
consejo,consejos
partido,partidos
país,países
nación,naciones
gobierno,gobiernos
estado,estados
provincia,provincias
departamento,departamentos
municipio,municipios
democracia,democracias
dictadura,dictaduras
política,políticas
político,políticos
presidente,presidentes
ministro,ministros
director,directores
representante,representantes
gobernador,gobernadores
intendente,intendentes
alcalde,alcaldes
policía,policías
bombero,bomberos
capital,capitales
ciudad,ciudades
población,poblaciones
pueblo,pueblos
villa,villas
obligación,obligaciones
libertad,libertades
derecho,derechos
permiso,permisos
prohibición,prohibiciones
constitución,constituciones
ley,leyes
decreto,decretos
norma,normas
economía,economías
consumo,consumos
demanda,demandas
compañía,compañías
comercio,comercios
mercado,mercados
servicio,servicios
producto,productos
producción,producciones
transacción,transacciones
almacén,almacenes
hotel,hoteles
fábrica,fábricas
cuenta,cuentas
boleto,boletos
entrada,entradas
dinero,dineros
billete,billetes
vuelto,vueltos
cambio,cambios
máquina,máquinas
precio,precios
tarifa,tarifas
valor,valores
escritorio,escritorios
silla,sillas
mesa,mesas
cama,camas
dormitorio,dormitorios
habitación,habitaciones
cuarto,cuartos
oficina,oficinas
panel,paneles
puerta,puertas
ventana,ventanas
hogar,hogares
casa,casas
apartamento,apartamentos
departamento,departamentos
edificio,edificios
construcción,construcciones
elevador,elevadores
ascensor,ascensores
escalera,escaleras
aparato,aparatos
cámara,cámaras
aguja,agujas
clavo,clavos
hilo,hilos
cuerda,cuerdas
cordel,cordeles
cordón,cordones
bolsillo,bolsillos
bolso,bolsos
bolsa,bolsas
paraguas,paraguas
parasol,parasoles
pantalla,pantallas
pomo,pomos
llave,llaves
arma,armas
escultura,esculturas
libro,libros
revista,revistas
cuadro,cuadros
grabado,grabados
electricidad,electricidades
corriente,corrientes
base,bases
pata,patas
conexión,conexiones
ropa,ropas
prenda,prendas
manga,mangas
solapa,solapas
cuello,cuellos
botón,botones
cremallera,cremalleras
cierre,cierres
cinturón,cinturones
zapato,zapatos
gafas,gafas
pantalón,pantalones
camisa,camisas
camiseta,camisetas
zapatilla,zapatillas
cordón,cordones
abrigo,abrigos
chaqueta,chaquetas
calcetín,calcetines
braga,bragas
calzón,calzones
calzoncillo,calzoncillos
sujetador,sujetadores
sostén,sostenes
falda,faldas
transporte,transportes
tránsito,tránsitos
tráfico,tráficos
vehículo,vehículos
tren,trenes
ferrocarril,ferrocarriles
subterráneo,subterráneos
metro,metros
camino,caminos
vía,vías
ruta,rutas
calle,calles
carretera,carreteras
autopista,autopistas
avenida,avenidas
estación,estaciones
parada,paradas
avión,aviones
aeropuerto,aeropuertos
automóvil,automóviles
coche,coches
auto,autos
bus,buses
autobús,autobuses
ómnibus,ómnibus
ambulancia,ambulancias
número,números
alfabeto,alfabetos
símbolo,símbolos
punto,puntos
coma,comas
raíz,raíces
origen,orígenes
fuente,fuentes
papel,papeles
carta,cartas
comunicación,comunicaciones
expresión,expresiones
voz,voces
texto,textos
periodismo,periodismos
periódico,periódicos
diario,diarios
diccionario,diccionarios
documento,documentos
informe,informes
noticia,noticias
computadora,computadoras
ordenador,ordenadores
idioma,idiomas
extranjero,extranjeros
color,colores
blanco,blancos
negro,negros
gris,grises
rojo,rojos
naranja,naranjas
anaranjado,anaranjados
amarillo,amarillos
verde,verdes
celeste,celestes
azul,azules
violeta,violetas
rosa,rosas
rosado,rosados
marrón,marrones
café,cafés
